"survey_id","STR","RES","ASC","package","sos","info","own","noalt","own.fisher","own.industry","own.gov","own.public"
1001,1001,1,1,3,0,1,"1",2,1,0,0,0
1001,1001,0,1,4,1,0,"4",2,0,0,0,1
1006,2001,0,1,1,0,1,"2",2,0,1,0,0
1006,2001,1,1,2,1,1,"3",2,0,0,1,0
1008,3001,1,1,11,1,1,"4",2,0,0,0,1
1008,3001,0,1,5,0,0,"4",2,0,0,0,1
1011,4001,1,1,4,1,0,"4",2,0,0,0,1
1011,4001,0,1,15,0,0,"1",2,1,0,0,0
2001,5001,0,1,10,0,0,"2",2,0,1,0,0
2001,5001,1,1,14,1,0,"2",2,0,1,0,0
2002,6001,1,1,7,1,0,"1",2,1,0,0,0
2002,6001,0,1,16,0,1,"3",2,0,0,1,0
2003,7001,0,1,8,0,1,"4",2,0,0,0,1
2003,7001,1,1,3,0,1,"1",2,1,0,0,0
2004,8001,1,1,9,1,0,"3",2,0,0,1,0
2004,8001,0,1,6,0,0,"3",2,0,0,1,0
3002,9001,1,1,5,0,0,"4",2,0,0,0,1
3002,9001,0,1,11,1,1,"4",2,0,0,0,1
3003,10001,1,1,10,0,0,"2",2,0,1,0,0
3003,10001,0,1,14,1,0,"2",2,0,1,0,0
3004,11001,0,1,7,1,0,"1",2,1,0,0,0
3004,11001,1,1,16,0,1,"3",2,0,0,1,0
3006,12001,0,1,11,1,1,"4",2,0,0,0,1
3006,12001,1,1,5,0,0,"4",2,0,0,0,1
3014,13001,0,1,14,1,0,"2",2,0,1,0,0
3014,13001,1,1,12,1,1,"1",2,1,0,0,0
3021,14001,0,1,13,1,1,"2",2,0,1,0,0
3021,14001,1,1,9,1,0,"3",2,0,0,1,0
3024,15001,1,1,12,1,1,"1",2,1,0,0,0
3024,15001,0,1,1,0,1,"2",2,0,1,0,0
3025,16001,1,1,15,0,0,"1",2,1,0,0,0
3025,16001,0,1,10,0,0,"2",2,0,1,0,0
3028,17001,1,1,12,1,1,"1",2,1,0,0,0
3028,17001,0,1,1,0,1,"2",2,0,1,0,0
3034,18001,1,1,2,1,1,"3",2,0,0,1,0
3034,18001,0,1,8,0,1,"4",2,0,0,0,1
3035,19001,0,1,3,0,1,"1",2,1,0,0,0
3035,19001,1,1,4,1,0,"4",2,0,0,0,1
3038,20001,0,1,6,0,0,"3",2,0,0,1,0
3038,20001,1,1,7,1,0,"1",2,1,0,0,0
3039,21001,1,1,7,1,0,"1",2,1,0,0,0
3039,21001,0,1,16,0,1,"3",2,0,0,1,0
3040,22001,0,1,8,0,1,"4",2,0,0,0,1
3040,22001,1,1,3,0,1,"1",2,1,0,0,0
3046,23001,0,1,14,1,0,"2",2,0,1,0,0
3046,23001,1,1,12,1,1,"1",2,1,0,0,0
3047,24001,0,1,4,1,0,"4",2,0,0,0,1
3047,24001,1,1,15,0,0,"1",2,1,0,0,0
3051,25001,1,1,4,1,0,"4",2,0,0,0,1
3051,25001,0,1,15,0,0,"1",2,1,0,0,0
3055,26001,0,1,5,0,0,"4",2,0,0,0,1
3055,26001,1,1,11,1,1,"4",2,0,0,0,1
3059,27001,0,1,12,1,1,"1",2,1,0,0,0
3059,27001,1,1,1,0,1,"2",2,0,1,0,0
4001,28001,0,1,1,0,1,"2",2,0,1,0,0
4001,28001,1,1,2,1,1,"3",2,0,0,1,0
4018,29001,1,1,2,1,1,"3",2,0,0,1,0
4018,29001,0,1,8,0,1,"4",2,0,0,0,1
5016,30001,1,1,3,0,1,"1",2,1,0,0,0
5016,30001,0,1,4,1,0,"4",2,0,0,0,1
5020,31001,0,1,16,0,1,"3",2,0,0,1,0
5020,31001,1,1,13,1,1,"2",2,0,1,0,0
5024,32001,1,1,14,1,0,"2",2,0,1,0,0
5024,32001,0,1,12,1,1,"1",2,1,0,0,0
5025,33001,0,1,13,1,1,"2",2,0,1,0,0
5025,33001,1,1,9,1,0,"3",2,0,0,1,0
5032,34001,1,1,12,1,1,"1",2,1,0,0,0
5032,34001,0,1,1,0,1,"2",2,0,1,0,0
5036,35001,0,1,6,0,0,"3",2,0,0,1,0
5036,35001,1,1,7,1,0,"1",2,1,0,0,0
5044,36001,0,1,13,1,1,"2",2,0,1,0,0
5044,36001,1,1,9,1,0,"3",2,0,0,1,0
6006,37001,0,1,1,0,1,"2",2,0,1,0,0
6006,37001,1,1,2,1,1,"3",2,0,0,1,0
6013,38001,0,1,11,1,1,"4",2,0,0,0,1
6013,38001,1,1,5,0,0,"4",2,0,0,0,1
6017,39001,1,1,4,1,0,"4",2,0,0,0,1
6017,39001,0,1,15,0,0,"1",2,1,0,0,0
6018,40001,1,1,2,1,1,"3",2,0,0,1,0
6018,40001,0,1,8,0,1,"4",2,0,0,0,1
6039,41001,0,1,13,1,1,"2",2,0,1,0,0
6039,41001,1,1,9,1,0,"3",2,0,0,1,0
7008,42001,0,1,15,0,0,"1",2,1,0,0,0
7008,42001,1,1,10,0,0,"2",2,0,1,0,0
